Site_Code,Country,City,Latitude,Longitude,Elevation_meters,Start_Year_local,Start_Month_local,Start_Day_local,Start_hour_local,End_Year_local,End_Month_local,End_Day_local,End_hour_local,Hours_sampled,Parameter_Code,Parameter_Name,Value,Units,Method_Code,Collection_Description,Analysis_Description,Conditions
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2016,5,20,8,2016,5,29,10,24,28914,Selenium PM2.5,0.0009,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2016,5,20,8,2016,5,29,10,24,28915,Gold PM2.5,-0,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2016,5,20,8,2016,5,29,10,24,28916,Cadmium PM2.5,0.0001,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2016,5,20,8,2016,5,29,10,24,28917,Antimony PM2.5,0.0014,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2016,5,20,8,2016,5,29,10,24,28918,Barium PM2.5,0.0042,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2016,5,20,8,2016,5,29,10,24,28919,Cerium PM2.5,0.0007,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2016,5,20,8,2016,5,29,10,24,28920,Lead PM2.5,0.0059,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,10,2,9,2014,10,11,9,24,28101,Filter PM2.5 mass,8.72,Micrograms per cubic meter,112,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Gravimetric with equilibration to set temperature (20-25 degC) and humidity (30 - 40 %RH),Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,10,11,9,2014,10,20,9,24,28101,Filter PM2.5 mass,8.11,Micrograms per cubic meter,112,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Gravimetric with equilibration to set temperature (20-25 degC) and humidity (30 - 40 %RH),Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,10,20,9,2014,10,29,9,24,28101,Filter PM2.5 mass,8.73,Micrograms per cubic meter,112,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Gravimetric with equilibration to set temperature (20-25 degC) and humidity (30 - 40 %RH),Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,10,29,9,2014,11,7,9,24,28101,Filter PM2.5 mass,6.7,Micrograms per cubic meter,112,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Gravimetric with equilibration to set temperature (20-25 degC) and humidity (30 - 40 %RH),Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,11,7,9,2014,11,16,9,24,28101,Filter PM2.5 mass,13.16,Micrograms per cubic meter,112,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Gravimetric with equilibration to set temperature (20-25 degC) and humidity (30 - 40 %RH),Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,11,16,9,2014,11,25,9,24,28101,Filter PM2.5 mass,8.86,Micrograms per cubic meter,112,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Gravimetric with equilibration to set temperature (20-25 degC) and humidity (30 - 40 %RH),Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,11,25,9,2014,12,4,9,24,28101,Filter PM2.5 mass,12.4,Micrograms per cubic meter,112,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Gravimetric with equilibration to set temperature (20-25 degC) and humidity (30 - 40 %RH),Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,10,2,9,2014,10,11,9,24,28401,Sulfate PM2.5,0.84,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,10,11,9,2014,10,20,9,24,28401,Sulfate PM2.5,1.21,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,10,20,9,2014,10,29,9,24,28401,Sulfate PM2.5,1.68,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,10,29,9,2014,11,7,9,24,28401,Sulfate PM2.5,0.55,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,11,7,9,2014,11,16,9,24,28401,Sulfate PM2.5,0.87,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,11,16,9,2014,11,25,9,24,28401,Sulfate PM2.5,0.88,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,11,25,9,2014,12,4,9,24,28401,Sulfate PM2.5,0.73,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,10,2,9,2014,10,11,9,24,28402,Nitrate PM2.5,0.49,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,10,11,9,2014,10,20,9,24,28402,Nitrate PM2.5,0.49,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,10,20,9,2014,10,29,9,24,28402,Nitrate PM2.5,1.07,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,10,29,9,2014,11,7,9,24,28402,Nitrate PM2.5,0.23,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,11,7,9,2014,11,16,9,24,28402,Nitrate PM2.5,0.42,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,11,16,9,2014,11,25,9,24,28402,Nitrate PM2.5,0.37,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,11,25,9,2014,12,4,9,24,28402,Nitrate PM2.5,0.44,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,10,2,9,2014,10,11,9,24,28802,Ammonium PM2.5,0.25,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,10,11,9,2014,10,20,9,24,28802,Ammonium PM2.5,0.3,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,10,20,9,2014,10,29,9,24,28802,Ammonium PM2.5,0.5,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,10,29,9,2014,11,7,9,24,28802,Ammonium PM2.5,0.17,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
